class,aa_000,ac_000,ad_000,ae_000,af_000,ag_000,ag_001,ag_002,ag_003,ag_004,ag_005,ag_006,ag_007,ag_008,ag_009,ah_000,ai_000,aj_000,ak_000,al_000,am_0,an_000,ao_000,ap_000,aq_000,ar_000,as_000,at_000,au_000,av_000,ax_000,ay_000,ay_001,ay_002,ay_003,ay_004,ay_005,ay_006,ay_007,ay_008,ay_009,az_000,az_001,az_002,az_003,az_004,az_005,az_006,az_007,az_008,az_009,ba_000,ba_001,ba_002,ba_003,ba_004,ba_005,ba_006,ba_007,ba_008,ba_009,bb_000,bc_000,bd_000,be_000,bf_000,bg_000,bh_000,bi_000,bj_000,bk_000,bl_000,bm_000,bs_000,bt_000,bu_000,bv_000,bx_000,by_000,bz_000,ca_000,cb_000,cc_000,cd_000,ce_000,cf_000,cg_000,ch_000,ci_000,cj_000,ck_000,cl_000,cm_000,cn_000,cn_001,cn_002,cn_003,cn_004,cn_005,cn_006,cn_007,cn_008,cn_009,co_000,cp_000,cq_000,cs_000,cs_001,cs_002,cs_003,cs_004,cs_005,cs_006,cs_007,cs_008,cs_009,ct_000,cu_000,cv_000,cx_000,cy_000,cz_000,da_000,db_000,dc_000,dd_000,de_000,df_000,dg_000,dh_000,di_000,dj_000,dk_000,dl_000,dm_000,dn_000,do_000,dp_000,dq_000,dr_000,ds_000,dt_000,du_000,dv_000,dx_000,dy_000,dz_000,ea_000,eb_000,ec_00,ed_000,ee_000,ee_001,ee_002,ee_003,ee_004,ee_005,ee_006,ee_007,ee_008,ee_009,ef_000,eg_000
neg,39802,282,238,0,0,0,0,0,0,888,576888,1630240,451234,25986,1174,1301244,0,0,0,0,0,2317320,1962688,519288,303024,0,0,0,0,480,576,0,0,0,0,0,102348,1813952,607574,162532,0,1858,1116,986,1156,3048,2670982,7260,0,0,0,975860,537408,243818,171762,149114,188170,396742,23530,0,0,2837118,4374,9502,474,2,1301244,47162,329296,188878,225160,233340,,55820,39801.54,2837118,2837118,2829358,18234,984,38108,412500,2686424,1209600,87044,0,68,0,2500319.04,0.0,184549.44,0,462,0,0,0,112308,775516,1414782,359696,17762,5768,574,20,26,2837118,3438,484,46730,96474,127472,2163398,241404,6966,38,0,508,1848,2484026,661102,0,3176,0,0,2519160,1342,66,0,0,0,0,0,0,0,0,26204,30524,7094,0,0,86204,14404,107280,12428,0,0,0,0,835590,813.12,1060,201156,523488,513428,302630,812054,331234,340,296,1064,716,0,0
neg,39050,2130706432,346,0,0,0,0,0,0,200,141410,1622228,578906,9570,1602,1249198,0,0,0,0,0,2154438,1927272,293790,194862,0,0,0,0,234,100,0,0,0,0,0,56352,769806,1196096,331662,0,1998,1768,3584,3062,16514,2323000,3990,0,0,0,375584,612534,331040,313914,268926,202876,164370,84672,0,0,2448610,4,70,30,14,1249198,28168,158836,133778,142980,144380,,2860,39049.03,2448610,2448610,2457744,18409,430,932,25800,2353916,1209600,84482,2,46,0,2230992.0,0.0,121485.12,28,654,0,0,0,7478,814102,1325976,192554,10588,3058,160,20,42,2448610,2684,386,20488,59274,44374,1562884,648102,15536,188,0,408,388,2234794,28532,0,22,0,28,2248616,1132,126,0,0,0,0,0,0,0,0,16588,17410,9768,0,0,42902,10478,10312640,1034146,2108036,4558,0,0,9786200,1008.48,756,130922,496370,388708,173782,319332,244944,199804,147872,243262,8920,0,0
neg,34622,168,148,0,0,0,0,0,12458,444658,1271306,237982,1740,0,0,901458,0,0,0,13408,20952,1790842,1595184,440388,163560,0,0,0,0,118,1244,0,0,0,0,0,3886,51086,1521744,391428,0,2072,1842,3032,3870,352788,1604540,0,0,0,0,294158,929966,345058,144504,76332,52168,65454,59404,1100,0,2245170,2910,3304,610,4,901458,23058,284354,153684,260580,,,174680,34622.3,2245170,2245170,2244524,9720,3030,100496,1030020,1968144,1209600,54918,4,60,0,1809850.56,0,155706.24,2,522,0,0,143630,1126794,606918,75016,12154,3360,272,0,0,80,2245170,4006,450,13298,109444,42166,1190672,577106,30816,186,0,86,3072,1425302,746330,0,7118,0,0,1819590,1320,202,0,0,0,0,0,0,0,0,12232,14348,2044,4620736,498850,74202,9340,2301820,237606,2188074,36990,0,0,0,929.62,1034,167646,289234,201584,73046,159730,193196,740398,142680,630,0,0,0
pos,963542,,,,,0,0,0,0,362990,7621228,34760166,11745906,88018,0,21723316,9492,0,,6858,10476,43065816,36359064,12869158,6570670,,0,0,0,,,0,0,0,0,139262,3757202,21397352,27821440,1463048,0,130706,207028,348518,889072,36464390,16534136,4396,56,2,0,16134316,10359960,3905528,3172568,2801934,3534126,7931336,3017202,2116040,1605294,55947060,,,,,21723316,860268,6406006,6423946,327900,253000,387540,94260,963542.34,55947060,55947060,55988458,429725,,,211920,54578300,1209600,,,,,48551661.12,0.0,6002703.36,,,0,0,41346,2527844,20836134,26851594,3917092,334472,68644,1178,,,55947060,45556,8366,3517122,2547358,4893244,37398298,6046408,121884,68,0,,,,,,,,,,,,,,,,,,,,392068,,,,,,,,,,,,,,,,6293388,8582254,5961450,2647654,5060254,4104418,4159544,3857900,12349000,1562444,,
neg,1840,54,40,0,0,0,0,0,0,94,23682,76562,236,0,0,47236,0,0,0,0,0,101324,94458,15612,4684,0,0,0,0,58,28,0,0,0,0,0,10322,72644,3430,14178,0,88,32,38,38,734,99628,16,0,0,0,41324,40794,11478,6118,656,178,26,0,0,0,116960,74,476,2,0,47236,970,9526,6000,,,,15400,1840.62,116960,116960,116792,394,0,11254,116740,100574,1209600,1820,0,4,0,92498.88,0.0,7983.36,0,0,0,0,0,2156,76428,21344,456,162,28,0,0,4,116960,156,20,474,2170,2706,57984,36206,778,80,0,108,108,91854,68068,56,0,0,0,93016,74,40,0,0,0,0,0,0,0,0,474,322,118,0,0,1268,252,3680,368,0,0,0,0,840650,54.24,58,8754,8922,5018,1924,3622,71862,442,22,8,0,0,0
neg,38638,72,50,0,0,0,0,0,0,1228,255612,1718122,589326,36354,286,1277818,0,0,0,0,0,2335258,2033394,473514,240246,0,0,0,0,340,136,0,0,0,0,0,70562,1698386,547622,284358,0,6584,3138,6476,38856,1556646,985014,4214,0,0,0,1075574,598564,213516,132822,93292,76930,110406,299820,4,0,2809536,150,840,342,0,1277818,41096,280756,191314,175480,225780,,65780,38638.55,2809536,2809536,2806582,16312,4514,34924,382780,2600928,1209600,63084,0,100,0,2297371.2,0.0,300314.88,0,0,0,0,0,54966,775904,1354642,388280,21824,5118,194,542,558,2809536,5834,646,36040,131484,82852,1915230,418246,10496,100,0,106,384,2260156,73236,48,16,0,0,2317388,1678,148,0,0,0,0,0,0,0,0,22706,38510,7512,0,0,109702,13982,91060,22702,0,0,0,0,840010,1343.16,1388,319834,407346,329862,212170,834804,495322,1090,222,278,0,0,0
pos,597102,2728,,0,0,8870,660290,3361360,8171152,12512842,13347120,4538160,1972908,314022,6898,17542068,1206,92,,5170346,6691342,35874210,38479212,4364610,2030522,2,0,0,0,19114,8848,0,0,0,0,0,0,320474,10112438,33779746,680964,25694,15424,24652,57942,175228,27343504,4040388,13210756,34,0,18551358,6322612,4337698,3305586,2545390,1951102,1568436,1350444,608068,4352928,45406686,19182,68170,4212,0,17542068,287606,1462040,2897458,216000,131620,123380,152380,597102.1,45406686,45406686,45347930,267691,730,,638920,44948720,1209600,490136,,,,28702964.16,8865690.24,7357454.4,1008,2824,1076554,3303682,4333134,4057836,7700474,8067326,5743422,4853048,4028678,1729468,,342,45406686,13908,1468,2796758,5937016,6513956,14790728,14786836,52630,322,0,4540,39108,26094824,17691086,76,10636,0,0,26200280,12808,562,,,,,,,,,196700,125894,51642,0,0,501822,100822,20520,4122,0,0,0,0,,,3472,16265374,2367458,1830636,880548,2438216,5705860,14365054,810848,229336,292,0,0
neg,14,34,20,0,0,0,0,0,0,2438,3902,2276,0,0,0,2196,0,0,0,776,1482,14374,12618,8616,838,0,0,0,0,44,4,0,0,0,0,0,0,0,5774,2842,0,192,18,22,966,194,7112,112,0,0,0,6994,460,138,74,72,190,56,508,20,104,23792,0,2,0,0,2196,154,5594,2994,,,,8480,13.29,23792,23792,26060,28,0,2262,23600,8672,1209600,336,2,2,0,2157.12,0.0,5390.4,2,34,0,0,1946,2202,3316,1136,16,0,0,0,0,4,23792,1184,34,88,960,162,2506,3380,294,8,0,54,8,2660,0,0,2,0,0,2942,52,56,0,0,0,0,0,0,0,0,184,0,0,1534,454,40,22,7920,816,25682,6,0,0,0,218.1,70,6522,1698,208,44,82,30,26,6,0,0,0,0
neg,41278,544,520,0,0,0,0,0,0,312,686454,1934004,626002,79902,3734,1390472,0,0,0,0,0,2794798,2236346,728538,489080,0,0,8062,0,830,180,0,0,0,0,0,976568,2002012,228668,123160,0,4926,2374,2682,20408,2569870,729980,168,0,0,0,1125240,861748,189938,151570,137832,150296,255736,457936,112,0,3523950,118,418,426,24,1390472,44016,360942,362098,233560,276260,,212060,41277.43,3523950,3523950,3519934,22596,4832,105364,1097200,3330408,1209600,119384,2,68,0,2871853.44,0.0,454001.28,0,0,0,0,0,21774,1000130,1752028,506610,41934,7226,706,8,16,3523950,7066,630,148660,246854,189602,2115318,615238,7006,34,0,738,438,2358512,53198,0,9268,0,12,2903392,2000,62,0,0,0,0,0,0,0,0,27594,97294,19818,0,0,81140,11126,12910820,1331032,219478,57280,0,0,1581620,1168.22,1246,480608,933942,697886,288800,435926,281738,121484,49528,40326,170,0,0
neg,38850,0,,0,0,0,0,0,0,5704,434584,1895940,441262,2720,0,1246402,0,0,0,0,0,2504934,2145876,524422,263522,0,0,0,0,0,0,0,0,0,0,0,2912,2118026,659272,0,0,3300,1686,1998,69310,2017108,686742,66,0,0,0,1142872,543416,266306,222944,315894,273576,15202,0,0,0,3030642,0,46,84,0,1246402,35916,238818,283830,181520,264420,,67480,38849.93,3030642,3030642,3022280,11438,531704,53260,599980,2780210,1209600,0,,,,2188926.72,0.0,585240.96,0,0,0,0,0,86028,1058500,1219698,352574,51086,11640,684,,0,3030642,7602,1016,7370,355696,160872,1401728,827222,18704,0,0,,,,,,,,,,4364,210,0,0,0,0,0,0,0,0,20382,0,0,0,0,0,0,0,0,0,0,0,0,37811900,2109,2438,620922,474358,302654,141358,267718,235082,231368,176902,326584,3264,0,0
